ACC-1182,I0000001
ACC-1187,I0000002
ACC-1188,I0000003
ACC-1436,I0000004
ACC-1499,I0000005
ACC-1437,I0000006
ACC-1496,I0000007
ACC-1186,I0000008
ACC-1183,I0000009
ACC-1184,I0000010
ACC-1632,I0000011
ACC-1645,I0000012
ACC-1667,I0000013
ACC-1228,I0000014
ACC-1231,I0000015
ACC-1221,I0000016
ACC-1237,I0000017
ACC-1261,I0000018
ACC-1209,I0000029
ACC-1210,I0000030
ACC-1207,I0000031
ACC-1229,I0000032
ACC-1249,I0000033
ACC-1263,I0000034
ACC-1241,I0000035
ACC-1223,I0000036
ACC-1202,I0000037
ACC-1265,I0000038
ACC-1224,I0000039
ACC-1239,I0000040
ACC-1211,I0000041
ACC-1208,I0000042
ACC-1258,I0000043
ACC-1631,I0000045
ACC-1613,I0000046
ACC-1430,I0000047
BAG-1007,I0000048
ACC-1495,I0000049
ACC-1232,I0000050
ACC-1219,I0000051
ACC-1225,I0000052
ACC-1203,I0000053
ACC-1262,I0000054
ACC-1201,I0000055
ACC-1621,I0000056
ACC-1386,I0000057
ACC-1531,I0000058
ACC-1610,I0000059
ACC-1213,I0000060
ACC-1214,I0000061
ACC-1264,I0000062
ACC-1230,I0000063
ACC-1250,I0000064
ACC-1252,I0000065
ACC-1242,I0000066
ACC-1245,I0000067
ACC-1532,I0000068
ACC-1204,I0000070
ACC-1251,I0000071
ACC-1220,I0000072
ACC-1227,I0000073
ACC-1260,I0000074
ACC-1638,I0000075
ACC-1180,I0000076
ACC-1312,I0000077
ACC-1029,I0000078
ACC-1028,I0000079
ACC-1032,I0000080
ACC-1627,I0000081
ACC-1016,I0000082
ACC-1018,I0000083
ACC-1020,I0000084
ACC-1019,I0000085
ACC-1017,I0000086
ACC-1027,I0000087
ACC-1309,I0000088
ACC-1015,I0000089
ACC-1071,I0000090
ACC-1072,I0000091
ACC-1064,I0000092
ACC-1073,I0000093
ACC-1468,I0000094
ACC-1470,I0000095
ACC-1480,I0000096
ACC-1636,I0000097
ACC-1303,I0000098
ACC-1626,I0000099
ACC-1471,I0000100
ACC-1477,I0000101
ACC-1643,I0000102
ACC-1585,I0000103
ACC-1661,I0000104
ACC-1659,I0000105
